id,intent,variations__0,variations__1,variations__2,variations__3,variations__4,variations__5,variations__6,variations__7,variations__8,variations__9,variations__10,variations__11,variations__12,variations__13,variations__14,variations__15,variations__16,variations__17,variations__18,variations__19,variations__20,variations__21,variations__22,variations__23,variations__24,variations__25,variations__26
1006,What is AllinCall Edge,Explain AllinCall Edge,Elaborate AllinCall Edge,Give details on AllinCall Edge,Share information of AllinCall Edge,Tell me about AllinCall Edge,What is AllinCall Edge,,,,,,,,,,,,,,,,,,,,,
1007,What is AllinCall FKYC account,What is AllinCall FKYC account?,define AllinCall FKYC account,information on AllinCall bank fkyc account?,give me information on AllinCall bank fkyc account?,details on AllinCall bank fkyc account?,details about AllinCall bank fkyc account?,What is AllinCall FKYC account,What is AllinCall FKYC account,,,,,,,,,,,,,,,,,,,
1008,Do I need Aadhaar ?,Will i require aadhar?,is aadhar necessary?,is aadhar required?,Do I need Aadhaar ?,,,,,,,,,,,,,,,,,,,,,,,
1009,How to open AllinCall?,what are the steps to open AllinCall?,explain how to poen AllinCall,What is the procedure to open AllinCall?,Give details on how to open AllinCall.,Share information to open AllinCall,How to open AllinCall?,How to open saving,How to open AllinCall or saving?,How to open AllinCall or saving account?,What is the account opening process,,,,,,,,,,,,,,,,,
1013,Do I need physical PAN card for Video KYC?,is physical PAN card required for Video KYC?,Is it necessary for a physical PAN to perform video KYC?,What if I dont have a physical PAN card for video KYC?,Do I need physical PAN card for Video KYC?,,,,,,,,,,,,,,,,,,,,,,,
1014,Which browser is needed for Video KYC?,Specify the browser needed for video KYC,Tell me about the browser needed for video KYC,GIve details on the browser needed for video KYC,Share information on the browser needed for video KYC,Which browser is needed for Video KYC?,,,,,,,,,,,,,,,,,,,,,,
1015,Do I have to be in India for Video KYC?,Can i perform the video KYC process from oversees?,Can i perform the video KYC process from outside India?,Do I have to be in India for Video KYC?,,,,,,,,,,,,,,,,,,,,,,,,
1016,What is virtual debit card?,Explain virtual debit card,Describe a virtual credit card,Give details on virtual credit card,Tell me about virtual credit card,What is virtual debit card?,,,,,,,,,,,,,,,,,,,,,,
1017,Where will I find my virtual debit card details?,Where will I find my virtual debit card details?,where is my virtual debit card details,how to find virtual debit card details,how to find my virtual debit card details,details about my virtual debit card,,,,,,,,,,,,,,,,,,,,,,
1018,What's the difference between virtual debit card card and physical debit card?,Explain the difference between virtual debit card card and physical debit card,Tell me the difference between virtual debit card card and physical debit card,How does a virtual credit card vary from a normal credit card?,What are the points of difference between a virtual debit card card and a physical debit card?,What's the difference between virtual debit card card and physical debit card?,,,,,,,,,,,,,,,,,,,,,,
1019,What is AllinCall bank Prepaid card?,Explain AllinCall bank Prepaid card,Give me details for AllinCall bank Prepaid card,Tell me about the AllinCall bank Prepaid card,Give me information on AllinCall bank Prepaid card,What is AllinCall bank Prepaid card?,,,,,,,,,,,,,,,,,,,,,,
1020,What type of debit card is AllinCall bank Debit Card?,Is AllinCall bank Debit Card a Visa Card?,What kind of card is the AllinCall bank Debit Card?,What type of debit card is AllinCall bank Debit Card?,,,,,,,,,,,,,,,,,,,,,,,,
1166,When will I get account details after video KYC?,How long will it take for me to get the account details after video KYC?,What is the duration of getting my details after performing video KYC?,When will I get account details after video KYC?,,,,,,,,,,,,,,,,,,,,,,,,
1021,Where can I see the CVV number of my AllinCall bank virtual debit card?,Where can I find the CVV number of my AllinCall bank virtual debit card?,What is the location of the CVV number of my AllinCall bank virtual debit card?,I want to know about the CVV number of my AllinCall bank virtual debit card,Where can I see the CVV number of my AllinCall bank virtual debit card? ,,,,,,,,,,,,,,,,,,,,,,,
1022,Where will I receive my physical debit card?,"How Will i receive my physical debit card, By post or in the bank?",Where do i collect my physical debit card?,Where will I receive my physical debit card?,,,,,,,,,,,,,,,,,,,,,,,,
1023,Is there any charge for getting physical debit card?,Do i have to pay to get my physical debit card?,what are the charges for a physical debit card?,Expoan the charges for a physical debit card in detail,Is there any charge for getting physical debit card?,Is there any charge for Debit Card,Is there any fee for debit card,Is there any charge for Physical getting debit card?,Is there any charge for getting debit card?,What are the charges for debit card,How much I need to pay for debit card,,,,,,,,,,,,,,,,,
1024,How do I need to pay for my physical debit card?,What is the medium to pay for my physical debit card?,How can I pay my physical debit card bills?,Explain the ways throught which i can pay for my physical debit card,How do I need to pay for my physical debit card?,,,,,,,,,,,,,,,,,,,,,,,
1026,Is the charge of a physical debit card a one-time payment or a recurring payment?,Can you let me know if the charge of a physical debit card a one-time payment or a recurring payment?,I would like to know if the charge of a physical debit card a one-time payment or a recurring payment?,Is the charge of a physical debit card a one-time payment or a recurring payment? ,,,,,,,,,,,,,,,,,,,,,,,,
1027,Is there any annual maintenance fee charged on a AllinCall bank virtual debit card?,What is annual maintenance fee charged on a AllinCall bank virtual debit card?,Share details on the annual maintenance fee charged on a AllinCall bank virtual debit card?,Is there any annual maintenance fee charged on a AllinCall bank virtual debit card?,,,,,,,,,,,,,,,,,,,,,,,,
1028,How can I apply for physical debit card?,Provide me with the details to apply for a physical debit card,Give information on how to apply for a physical debit card,What are the steps to apply for a physical debit card?,How can I apply for physical debit card?,PDC,get physical debit card,How can I apply for ATM Card,apply for physical debit card,,,,,,,,,,,,,,,,,,,
1029,Do I need to apply for virtual debit card?,how do i apply for a virtual debit card?,Where do i apply for a virtual debit card?,Do I need to apply  for virtual debit card?,,,,,,,,,,,,,,,,,,,,,,,,
1030,I haven't yet received a debit card with my AllinCall bank account? When will I receive a debit card?,I haven't yet received a debit card with my AllinCall bank account? When will i recieve/get it?,I haven't yet received a debit card with my AllinCall bank account? When will I receive a debit card?,I haven't yet received a ATM card with my AllinCall bank account? ,When will I receive a ATM card?,I haven't yet received a ATM card with my AllinCall bank account?,I haven't yet received a debit card with my AllinCall bank account? ,,,,,,,,,,,,,,,,,,,,,
1031,I opened my AllinCall bank but didn't receive any debit card?,"i didnt receive any debit card after opening a AllinCall bank account, what can i do?",What are the steps to receive a debit card after opening an account with AllinCall bank?,I opened my AllinCall bank but didn't receive any debit card?,didn't receive debit card,didn't receive card,I opened my AllinCall bank but didn't receive any ATM card?,,,,,,,,,,,,,,,,,,,,,
1033,Do I need to complete the full KYC to apply for a physical debit card?,is it mandatory to complete the full KYC to apply for a physical debit card?,Can i apply for a physical debit card without completing the full KYC process?,Do I need to complete the full KYC to apply for a physical debit card?,,,,,,,,,,,,,,,,,,,,,,,,
1034,I am not able to place a request for physical debit card. What should I do?,"I need to get a physical debit card as i am not able to place a request, what can i do?",I am not able to place a request for physical debit card. What should I do?,I am not able to place a request for physical debit card,unable to place a request for a physical debit card,I am not able to place a request for ATM card. What should I do?,,,,,,,,,,,,,,,,,,,,,,
1035,Do I need to visit bank branch to apply for physical debit card?,is it mandatory for me to visit bank branch to apply for physical debit card?,Why Do I need to visit bank branch to apply for physical debit card?,Do I need to visit bank branch to apply for physical debit card?,,,,,,,,,,,,,,,,,,,,,,,,
1036,How can I set the PIN of my debit card?,Where can i set the PIN for my debit card?,Provide me with the link to set the PIN for my debit card,"I need to set the PIN for my debit card, where can i do it?",How can I set the PIN of my debit card?,,,,,,,,,,,,,,,,,,,,,,,
1037,I forgot the PIN of my debit card. How can I reset the PIN of my debit card?,"As i forgot my debit card PIN, how can i reset it?",Kindly provide me with the link to reset my debit card PIN.,Where i can reset my debit card PIN?,How to reset my debit card PIN if i have forgotten it?,"I need to reset the PIN for my debit card, where can i do it?",I forgot the PIN of my debit card. How can I reset the PIN of my debit card?,i forgot the PIN of my ATM card ,How can I reset my ATM card PIN,I forgot the PIN of my debit card. ,How can I reset the PIN of my debit card?,,,,,,,,,,,,,,,,,
1038,I received my debit card. How do I know if it is active or not?,How do i check if my debit card is active or not?,How to check if my debit card which i just received is active or not?,I received my debit card. How do I know if it is active or not?,,,,,,,,,,,,,,,,,,,,,,,,
1039,How can I check the status of my physical debit card application?,Where to check the status of my physical debit card ?,Kindly provide me with the link to check the status of my physical debit card?,Can you help me in checking the status of my physical debit card?,How can I check the status of my physical debit card?,What is the status my physical debit card?,debit card  status,What is the status of my physical debit card,What is the status my debit card,What is the status my debit card?,track my package,How can I track debit card,i have already applied for debit card,How can I check the status of my physical debit card application?,,,,,,,,,,,,,,
1040,"The charge of the physical debit card was debited from my account. However, I didn?t receive the physical debit card yet. When will I receive my debit card?","The charge of the physical  debit card was debited from my account. However, I didn?t receive the physical debit card yet. Can you provide me with the link to check the status of my credit card?","The charge of the physical  debit card was debited from my account. However, I didn?t receive the physical debit card yet. When will I receive my debit card?",,,,,,,,,,,,,,,,,,,,,,,,,
1043,How many days will it take for the physical debit card to reach my communication address?,What is the time frame at which my physical debit card will reach to my communication address?,Can you let me know when i will get my physical debit card at my communication address?,What are the number of working days required for the physical debit card to reach my communication address?,How many days will it take for the physical debit card to reach my communication address?,How many days will it take for debit card to reach my communication address?,how many days does it takes?,,,,,,,,,,,,,,,,,,,,,
1044,Can I use my AllinCall debit for international transactions?,is there an option to use my AllinCall debit for international transactions?,Is there a provision to use my AllinCall debit for international transactions?,How can i use my AllinCall debit for international transactions?,Is AllinCall bank credit card allowed to use for international transactions?,Can I use my AllinCall debit for international transactions?,,,,,,,,,,,,,,,,,,,,,,
1045,"Is there any charge or processing fee for using AllinCall bank debit card on Netflix, Prime etc?","What are the charges or processing fees for using AllinCall bank debit card on Netflix, Prime etc?","Share with me the charges or processing fees for using AllinCall bank debit card on Netflix, Prime etc?","Specify the charges or processing fees for using AllinCall bank debit card on Netflix, Prime etc?","Is there any charge or processing fee for using AllinCall bank debit card on Netflix, Prime etc?",,,,,,,,,,,,,,,,,,,,,,,
1046,How can I use my virtual debit card to shop online?,GIve details on how to use my virtual debit card to shop online,Share information on how to use my virtual debit card to shop online,What are the steps to use use my virtual debit card to shop online?,Tell me how to use my virtual debit card to shop online,What is the procedure to use my virtual debit card to shop online?,How can I use my virtual debit card to shop online?,VDC,,,,,,,,,,,,,,,,,,,,
1047,How can I withdraw money without debit card,Steps to withdraw without debit card,Process to withdraw without debit card,Guide me on how to withdraw money without debit card,I want to withdraw money without debit card please help,How can I withdraw money without debit card,How can I withdraw without ATM card,How can I withdraw cash without debit card,Withdrawal,IMT,,,,,,,,,,,,,,,,,,
1048,I do not see my virtual debit card,Where is my virtual debit card?,Where can I find my virtual debit card?,Where can i download  my virtual debit card?,I do not see my virtual debit card,,,,,,,,,,,,,,,,,,,,,,,
1049,My virtual card is blocked and it says it will be available after 2 days,"It is saying that my virtual card is blocked and will be available after 2 days, What should i do?","I have completed my KYC process and still not able to view my virtual debit card, it is blocked?",My virtual card is blocked and it says it will be available after 2 days,My virtual card is locked ,My virtual card is blocked/locked and it says it will be available after 2 days,My virtual card is block and it says it will be available after 2 days,,,,,,,,,,,,,,,,,,,,,
1050,What is MPIN?,Tell me about MPIN,I want to know about MPIN,Give me information about MPIN,What are the things I need to know about MPIN,Details on MPIN,What is meant by MPIN,Meaning of MPIN,Can you explain MPIN,Clarify what is MPIN,I am confused about MPIN,What is MPIN?,,,,,,,,,,,,,,,,
1051,Why do I need MPIN?,Why do I need MPIN,Tell me about Why do I need MPIN,I want to know about Why do I need MPIN,Give me information about Why do I need MPIN,Details on Why do I need MPIN,Can you explain Why do I need MPIN,Clarify Why do I need MPIN,Why do I need MPIN?,,,,,,,,,,,,,,,,,,,
1052,How do I create MPIN?,How do I create MPIN,Tell me about How do I create MPIN,I want to know about How do I create MPIN,Give me information about How do I create MPIN,Details on How do I create MPIN,Can you explain How do I create MPIN,Clarify How do I create MPIN,How do I create MPIN?,,,,,,,,,,,,,,,,,,,
1053,How do I create a PIN for my Virtual debit card?,How do I create a PIN for my Virtual debit card,Tell me about How do I create a PIN for my Virtual debit card,I want to know about How do I create a PIN for my Virtual debit card,Give me information about How do I create a PIN for my Virtual debit card,Details on How do I create a PIN for my Virtual debit card,Can you explain How do I create a PIN for my Virtual debit card,Clarify How do I create a PIN for my Virtual debit card,How do I create a PIN for my Virtual debit card?,,,,,,,,,,,,,,,,,,,
1054,How do I set password for my Net Banking?,How do I set password for my Net Banking,Tell me about How do I set password for my Net Banking,I want to know about How do I set password for my Net Banking,Give me information about How do I set password for my Net Banking,Details on How do I set password for my Net Banking,Can you explain How do I set password for my Net Banking,Clarify How do I set password for my Net Banking,How do I set password for my Net Banking?,,,,,,,,,,,,,,,,,,,
1055,What is my CRN?,Tell me about CRN,I want to know about CRN,Give me information about CRN,What are the things I need to know about CRN,Details on CRN,What is meant by CRN,Meaning of CRN,Can you explain CRN,Clarify what is CRN,I am confused about CRN,What is my CRN?,,,,,,,,,,,,,,,,
1056,How to reset/change MPIN?,How to reset/change MPIN,Tell me about How to reset/change MPIN,I want to know about How to reset/change MPIN,Give me information about How to reset/change MPIN,Details on How to reset/change MPIN,Can you explain How to reset/change MPIN,Clarify How to reset/change MPIN,How to reset/change MPIN?,Forgot MPIN,,,,,,,,,,,,,,,,,,
1057,How to recover CRN?,define recover CRN,Help me with the recover CRN,do we need to have Maker Checker and Approver set up,Is it necessary to have Maker Checker and Approver set up,Explain recover CRN,Explain recover CRN,How to recover CRN?,cnr,,,,,,,,,,,,,,,,,,,
1058,How do I set my MPIN after video KYC?,How do I set my MPIN after video KYC,Tell me about How do I set my MPIN after video KYC,I want to know about How do I set my MPIN after video KYC,Give me information about How do I set my MPIN after video KYC,Details on How do I set my MPIN after video KYC,Can you explain How do I set my MPIN after video KYC,Clarify How do I set my MPIN after video KYC,How do I set my MPIN after video KYC?,,,,,,,,,,,,,,,,,,,
1059,How do I change my Mobile number?,change my Mobile number,Help me with how to change my Mobile number,Can you tell how can I change my Mobile number,change my Mobile number,How do I change my Mobile number?,How can I update my contact number,how can I change my contact number,contact number,How do I change my phone number,,,,,,,,,,,,,,,,,,
1060,How to change my address after KYC?,define change my address after KYC,Help me with the change my address after KYC,Explain change my address after KYC,Explain change my address after KYC,How to change my address after KYC?,I want to update my address,i want to apply for address change online,,,,,,,,,,,,,,,,,,,,
1061,How to change my email id after KYC?,How to change my email id after KYC,Tell me about How to change my email id after KYC,I want to know about How to change my email id after KYC,Give me information about How to change my email id after KYC,Details on How to change my email id after KYC,Can you explain How to change my email id after KYC,Clarify How to change my email id after KYC,How to change my email id after KYC?,,,,,,,,,,,,,,,,,,,
1161,How to open Video KYC account?,What are the steps to open Video KYC account?,Tell me the procedure to open Video KYC account,Give details on how to open Video KYC account,Share information on how to open Video KYC account,How to open Video KYC account?,,,,,,,,,,,,,,,,,,,,,,
1062,What is my home branch?,Tell me about my home branch,I want to know about my home branch,Give me information about my home branch,What are the things I need to know about my home branch,Details on my home branch,What is meant by my home branch,Meaning of my home branch,Can you explain my home branch,Clarify what is my home branch,I am confused about my home branch,What is my home branch?,how can i know my branch name,,,,,,,,,,,,,,,
1063,What is the time taken for the deposited cash to reflect in my AllinCall account?,What is the time taken for the deposited cash to reflect in my AllinCall account?,time taken for deposited cash to reflect in my AllinCall account,time taken for deposited cash to reflect in my  account,how much time it takes for deposited cash to reflect in my AllinCall account,please tell me about time taken for the deposited cash to reflect in my AllinCall account,,,,,,,,,,,,,,,,,,,,,,
1064,How to update my name in AllinCall bank account?,define update my name in account,Help me with the update my name in account,Explain update my name in account,Explain update my name in account,How to update my name in account?,How to update my name account?,How to update my date of birth in account ,update date of birth,update name,,,,,,,,,,,,,,,,,,
1065,How to update my date of birth in AllinCall bank account?,How to update my date of birth in AllinCall bank account,Tell me about How to update my date of birth in AllinCall bank account,I want to know about How to update my date of birth in AllinCall bank account,Give me information about How to update my date of birth in AllinCall bank account,Details on How to update my date of birth in AllinCall bank account,Can you explain How to update my date of birth in AllinCall bank account,Clarify How to update my date of birth in AllinCall bank account,How to update my date of birth in AllinCall bank account?,,,,,,,,,,,,,,,,,,,
1068,I want to activate my account when will it be activated?,How do I know if my account is active,I want to activate my account when will it be activated?,how much time it takes to activate my account,How to activate my account,when will my account be activated?,,,,,,,,,,,,,,,,,,,,,,
1069,Why my account is under freeze?,tell me about Why my account is under freeze,help me with Why my account is under freeze,can you tell Why my account is under freeze,answer Why my account is under freeze,Why my account is under freeze?,Freeze,Frozen,Why did you put my account under freeze?,,,,,,,,,,,,,,,,,,,
1070,What do I do if my account is frozen?,Tell me about What do I do if my account is frozen,I want to know about What do I do if my account is frozen,Give me information about What do I do if my account is frozen,What are the things I need to know about What do I do if my account is frozen,Details on What do I do if my account is frozen,What is meant by What do I do if my account is frozen,Meaning of What do I do if my account is frozen,Can you explain What do I do if my account is frozen,Clarify what is What do I do if my account is frozen,I am confused about What do I do if my account is frozen,What do I do if my account is frozen?,,,,,,,,,,,,,,,,
1071,How to close my account?,How to close my account,Tell me about How to close my account,I want to know about How to close my account,Give me information about How to close my account,Clarify How to close my account,How to close my account?,,,,,,,,,,,,,,,,,,,,,
1072,Can I close my account online?,Can I close my account online,Tell me about Can I close my account online,I want to know about Can I close my account online,Give me information about Can I close my account online,Details on Can I close my account online,Can you explain Can I close my account online,Clarify Can I close my account online,Can I close my account online?,,,,,,,,,,,,,,,,,,,
1074,How much time will it take to receive a demand draft after my AllinCall account is closed?,How much time will it take to receive a demand draft after my AllinCall account is closed,Tell me about How much time will it take to receive a demand draft after my AllinCall account is closed,I want to know about How much time will it take to receive a demand draft after my AllinCall account is closed,Give me information about How much time will it take to receive a demand draft after my AllinCall account is closed,Details on How much time will it take to receive a demand draft after my AllinCall account is closed,Can you explain How much time will it take to receive a demand draft after my AllinCall account is closed,Clarify How much time will it take to receive a demand draft after my AllinCall account is closed,How much time will it take to receive a demand draft after my AllinCall account is closed?,,,,,,,,,,,,,,,,,,,
1075,How do I login?,login,Help me with how to login,Can you tell how can I login,login,How do I login?,How to open App,how to open MB app,difficulty in opening app,,,,,,,,,,,,,,,,,,,
1077,How do I view my Virtual Debit Card in the Mobile Banking App?,How do I view my Virtual Debit Card in the Mobile Banking App,Tell me about How do I view my Virtual Debit Card in the Mobile Banking App,I want to know about How do I view my Virtual Debit Card in the Mobile Banking App,Give me information about How do I view my Virtual Debit Card in the Mobile Banking App,Details on How do I view my Virtual Debit Card in the Mobile Banking App,Can you explain How do I view my Virtual Debit Card in the Mobile Banking App,Clarify How do I view my Virtual Debit Card in the Mobile Banking App,How do I view my Virtual Debit Card in the Mobile Banking App?,Show me virtual debit card,,,,,,,,,,,,,,,,,,
1078,How do I start using the Mobile Banking App after opening my account?,How do I start using the Mobile Banking App,Tell me about How do I start using the Mobile Banking App,I want to know about How do I start using the Mobile Banking App,Give me information about How do I start using the Mobile Banking App,Details on How do I start using the Mobile Banking App,Can you explain How do I start using the Mobile Banking App,Clarify How do I start using the Mobile Banking App,How do I start using the Mobile Banking App,,,,,,,,,,,,,,,,,,,
1079,How to I see my account statements through app?,How to I see my account statements through app?, I want see my account statements through app?,My account statement through app,,,,,,,,,,,,,,,,,,,,,,,,
1080,Can I transfer money from AllinCall mobile banking app?,Can I transfer money from AllinCall mobile banking app?,how can i transfer money from AllinCall mobile app,i want to transfer money from AllinCall mobile banking app,i wish to transfer money from AllinCall mobile banking app,transfer money using AllinCall mobile banking app,,,,,,,,,,,,,,,,,,,,,,
1081,How can I see my account?,How can I see my account,Tell me about How can I see my account,I want to know about How can I see my account,Give me information about How can I see my account,Details on How can I see my account,Can you explain How can I see my account,Clarify How can I see my account,How can I see my account?,,,,,,,,,,,,,,,,,,,
1082,what do I do after opening AllinCall?,Tell me about what do I do after opening AllinCall,I want to know about what do I do after opening AllinCall,Give me information about what do I do after opening AllinCall,What are the things I need to know about what do I do after opening AllinCall,Details on what do I do after opening AllinCall,What is meant by what do I do after opening AllinCall,Meaning of what do I do after opening AllinCall,Can you explain what do I do after opening AllinCall,Clarify what is what do I do after opening AllinCall,I am confused about what do I do after opening AllinCall,what do I do after opening AllinCall?,,,,,,,,,,,,,,,,
1083,How can I increase the credit limit on AllinCall #DreamDifferent Credit Card?,How can I increase the credit limit on AllinCall #DreamDifferent Credit Card,Tell me about How can I increase the credit limit on AllinCall #DreamDifferent Credit Card,I want to know about How can I increase the credit limit on AllinCall #DreamDifferent Credit Card,Give me information about How can I increase the credit limit on AllinCall #DreamDifferent Credit Card,Details on How can I increase the credit limit on AllinCall #DreamDifferent Credit Card,Can you explain How can I increase the credit limit on AllinCall #DreamDifferent Credit Card,Clarify How can I increase the credit limit on AllinCall #DreamDifferent Credit Card,How can I increase the credit limit on AllinCall #DreamDifferent Credit Card?,,,,,,,,,,,,,,,,,,,
1084,I have a low credit score. Can I apply for AllinCall bank #DreamDifferent Credit Card?,I have a low credit score. Can I apply for AllinCall bank #DreamDifferent Credit Card?,low credit score and want to apply for AllinCall bank DreamDifferent credit card ,i have a low credit score. can i apply for AllinCall bank dreamdifferent credit card,,,,,,,,,,,,,,,,,,,,,,,,
1085,What is AllinCall bank DreamDifferent,Tell me about What is AllinCall bank  DreamDifferent,I want to know about What is AllinCall bank   DreamDifferent,Give me information about What is AllinCall bank  DreamDifferent,What are the things I need to know about What is AllinCall bank  DreamDifferent,Details on What is AllinCall bank   DreamDifferent,What is meant by What is AllinCall bank   DreamDifferent,Meaning of What is AllinCall bank   DreamDifferent,Can you explain What is AllinCall bank   DreamDifferent,Clarify what is What is AllinCall bank  DreamDifferent,I am confused about What is AllinCall bank   DreamDifferent,What is AllinCall bank   DreamDifferent,,,,,,,,,,,,,,,,
1164,I dropped from the video kyc journey. What do I do?,"I need to complete my video KYC, what should i do?","I lost connection in the middle of performing my video KYC, what can i do?","I need to restart my vidoeo KYC, what should i do?",I dropped from the video kyc journey. What do I do?,,,,,,,,,,,,,,,,,,,,,,,
1086,What is AllinCall bank DreamDifferent Credit card?,what is AllinCall bank DreamDifferent credit card,give me information about AllinCall bank dreamdifferent credit card?,information on AllinCall bank dreamdifferent credit card?,information about AllinCall bank dreamdifferent credit card?,i want to know about AllinCall bank dreamdifferent credit card?,what do you mean by AllinCall bank dreamdifferent credit card?,can you explain AllinCall bank dreamdifferent credit card?,i am confused about AllinCall bank dreamdifferent credit card?,what you meant by AllinCall bank dreamdifferent credit card?,details about AllinCall bank dreamdifferent credit card?,details on AllinCall bank dreamdifferent credit card?,what are the things i need to know about AllinCall bank dreamdifferent credit card?,explain AllinCall bank dreamdifferent credit card?,tell me about AllinCall bank dreamdifferent credit card?,explain what is AllinCall bank dreamdifferent credit card?,help me understand AllinCall bank dreamdifferent credit card?,What is AllinCall bank DreamDifferent Credit card?,how to apply for credit card,i want credit card,pl new credit card,,,,,,,
1087,What will be the credit,Tell me about What will be the credit,I want to know about What will be the credit,Give me information about What will be the credit,What are the things I need to know about What will be the credit,Details on What will be the credit,What is meant by What will be the credit,Meaning of What will be the credit,Can you explain What will be the credit,Clarify what is What will be the credit,I am confused about What will be the credit,What will be the credit,,,,,,,,,,,,,,,,
1088,How can I pay DTH bill?,How can I pay DTH  bill,Tell me about  How can I pay DTH  bill,I want to know about  How can I pay DTH  bill,Give me information about  How can I pay DTH  bill,Details on  How can I pay DTH  bill,Can you explain  How can I pay DTH  bill,Clarify  How can I pay DTH  bill, How can I pay DTH  bill?,,,,,,,,,,,,,,,,,,,
1089,How can I pay electricity bill?,How can I pay electricity bill,Tell me about  How can I pay electricity bill,I want to know about  How can I pay electricity bill,Give me information about  How can I pay electricity bill,Details on  How can I pay electricity bill,Can you explain  How can I pay electricity bill,Clarify  How can I pay electricity bill, How can I pay electricity bill?,,,,,,,,,,,,,,,,,,,
1090,Can I pay electricity bills through my AllinCall account?,Can I pay electricity bills,Tell me about Can I pay electricity bills,I want to know about Can I pay electricity bills,Give me information about Can I pay electricity bills,Details on Can I pay electricity bills,Can you explain Can I pay electricity bills,Clarify Can I pay electricity bills,Can I pay electricity bills through my AllinCall account?,,,,,,,,,,,,,,,,,,,
1091,Can I recharge my phone through my AllinCall account? How can I do mobile recharge online through mobile bank app?,Can you explain Can I pay phone bills through my AllinCall account,Clarify Can I pay phone bills through my AllinCall account,Can I recharge my phone through my AllinCall account? How can I do mobile recharge online through mobile bank app?,Can I recharge my phone through my AllinCall account,How can I do mobile recharge online through mobile bank app?,,,,,,,,,,,,,,,,,,,,,,
